,id,full_name,abbreviation,FG3A,FGA,FG3_PCT,FG3A / FGA,logo_path,TEAM_NAME,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,TEAM_NAME_per100,GROUP_SET_per100,GROUP_VALUE_per100,SEASON_YEAR_per100,GP_per100,W_per100,L_per100,W_PCT_per100,MIN_per100,FGM_per100,FGA_per100,FG_PCT_per100,FG3M_per100,FG3A_per100,FG3_PCT_per100,FTM_per100,FTA_per100,FT_PCT_per100,OREB_per100,DREB_per100,REB_per100,AST_per100,TOV_per100,STL_per100,BLK_per100,BLKA_per100,PF_per100,PFD_per100,PTS_per100,PLUS_MINUS_per100,GP_RANK_per100,W_RANK_per100,L_RANK_per100,W_PCT_RANK_per100,MIN_RANK_per100,FGM_RANK_per100,FGA_RANK_per100,FG_PCT_RANK_per100,FG3M_RANK_per100,FG3A_RANK_per100,FG3_PCT_RANK_per100,FTM_RANK_per100,FTA_RANK_per100,FT_PCT_RANK_per100,OREB_RANK_per100,DREB_RANK_per100,REB_RANK_per100,AST_RANK_per100,TOV_RANK_per100,STL_RANK_per100,BLK_RANK_per100,BLKA_RANK_per100,PF_RANK_per100,PFD_RANK_per100,PTS_RANK_per100,PLUS_MINUS_RANK_per100
0,1610612737,Atlanta Hawks,ATL,29.466666666666665,89.34666666666666,0.3534729729729729,0.3298015221608715,logos/ATL.png,Atlanta Hawks,112.9,112.9,0.0,102.9,Atlanta Hawks,Overall,2022-23,2022-23,65,32,33,0.492,47.4,43.3,90.0,0.482,10.5,29.7,0.353,17.5,21.4,0.818,10.4,32.3,42.7,24.1,12.6,6.9,4.7,4.9,18.7,19.2,114.6,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1610612738,Boston Celtics,BOS,42.06666666666667,87.89333333333333,0.37604,0.4786104368932039,logos/BOS.png,Boston Celtics,115.3,109.5,5.8,100.5,Boston Celtics,Overall,2022-23,2022-23,66,45,21,0.682,48.4,41.5,87.7,0.473,15.7,41.7,0.377,17.9,21.8,0.821,9.7,35.2,44.8,26.0,13.4,6.2,5.3,3.9,19.0,19.2,116.5,5.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1610612739,Cleveland Cavaliers,CLE,31.19736842105263,84.07894736842105,0.3594736842105263,0.3710485133020344,logos/CLE.png,Cleveland Cavaliers,113.4,107.3,6.1,97.8,Cleveland Cavaliers,Overall,2022-23,2022-23,67,41,26,0.612,49.9,42.5,87.2,0.488,11.8,32.5,0.364,18.2,23.5,0.777,10.0,33.1,43.1,25.6,14.0,7.4,4.6,4.4,19.2,21.3,115.1,5.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1610612740,New Orleans Pelicans,NOP,30.346666666666668,87.04,0.3482266666666667,0.3486519607843137,logos/NOP.png,New Orleans Pelicans,111.2,110.6,0.7,101.7,New Orleans Pelicans,Overall,2022-23,2022-23,65,31,34,0.477,48.1,41.7,87.1,0.478,10.6,30.0,0.352,19.3,24.6,0.783,10.8,32.5,43.3,25.4,14.6,8.5,4.0,5.0,20.6,20.5,113.2,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1610612741,Chicago Bulls,CHI,28.06756756756757,85.24324324324324,0.3577432432432433,0.32926442612555484,logos/CHI.png,Chicago Bulls,111.2,110.1,1.1,101.2,Chicago Bulls,Overall,2022-23,2022-23,65,29,36,0.446,48.1,42.0,85.9,0.49,10.2,28.3,0.361,18.0,22.3,0.808,8.5,33.9,42.3,24.0,13.8,7.4,4.4,4.9,19.3,18.9,112.4,0.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1610612742,Dallas Mavericks,DAL,40.28378378378378,82.71621621621621,0.3653243243243244,0.4870119261558569,logos/DAL.png,Dallas Mavericks,114.6,113.5,1.1,98.4,Dallas Mavericks,Overall,2022-23,2022-23,65,33,32,0.508,49.6,40.4,85.1,0.475,15.4,41.6,0.37,20.1,26.8,0.75,8.0,31.3,39.3,22.9,12.5,6.6,3.7,4.0,21.3,23.1,116.4,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1610612743,Denver Nuggets,DEN,30.63157894736842,84.1842105263158,0.37753333333333333,0.36386370740856516,logos/DEN.png,Denver Nuggets,115.9,111.3,4.6,100.7,Denver Nuggets,Overall,2022-23,2022-23,65,46,19,0.708,48.4,44.2,86.8,0.509,12.2,31.3,0.39,17.1,22.7,0.754,10.1,33.2,43.3,29.4,14.9,7.6,4.4,4.5,19.0,19.9,117.7,4.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1610612744,Golden State Warriors,GSW,41.18987341772152,87.69620253164557,0.37132911392405066,0.469688221709007,logos/GSW.png,Golden State Warriors,112.3,111.4,0.9,104.4,Golden State Warriors,Overall,2022-23,2022-23,66,34,32,0.515,46.7,41.4,87.0,0.476,16.0,41.7,0.383,15.3,19.3,0.794,9.7,32.8,42.5,28.7,15.8,6.8,3.6,3.9,21.1,17.9,114.1,0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1610612745,Houston Rockets,HOU,32.932432432432435,87.79729729729729,0.32547297297297295,0.37509619824534407,logos/HOU.png,Houston Rockets,106.7,116.5,-9.8,102.0,Houston Rockets,Overall,2022-23,2022-23,65,15,50,0.231,48.0,40.0,88.1,0.453,10.7,32.6,0.327,19.1,25.3,0.753,13.1,33.2,46.3,22.5,16.6,7.1,4.8,5.9,20.5,21.0,109.7,-8.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1610612746,Los Angeles Clippers,LAC,33.30263157894737,84.77631578947368,0.3747894736842105,0.3928294272854261,logos/LAC.png,LA Clippers,111.4,111.9,-0.5,100.1,LA Clippers,Overall,2022-23,2022-23,67,34,33,0.507,48.6,40.7,86.4,0.471,12.8,33.9,0.378,18.9,24.0,0.785,9.8,33.8,43.6,23.3,14.3,6.9,4.5,4.3,19.8,19.8,113.1,-0.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
